Product Name,Full Indication,New indication HTML,New indication PDF,Removed indication HTML,EMA date for extension,Search Result in NICE,Full Indication Similarity,New Indication HTML Similarity,New Indication PDF Similarity,What changed,INN,NICE_url,epar_url,variation_url
evlarco,"Evlarco is indicated in adults with primary hypercholesterolaemia (heterozygous familial and non-familial) or mixed dyslipidaemia, as an adjunct to diet: in combination with a statin in patients unable to reach low-density lipoprotein cholesterol (LDL-C) goals with the maximum tolerated dose of a statin in addition to ezetimibe or, alone in patients who are either statin-intolerant or for whom a statin is contraindicated and are unable to reach LDL-C goals with ezetimibe alone or, in patients already being treated with the combination of obicetrapib and ezetimibe as separate tablets with or without statin.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Evlarco, a fixed-dose combination of obicetrapib and ezetimibe, received a positive opinion for the treatment of primary hypercholesterolaemia or mixed dyslipidaemia.",obicetrapib / ezetimibe,https://www.nice.org.uk/search?q=obicetrapib / ezetimibe,https://www.ema.europa.eu/en/medicines/human/EPAR/evlarco,
icotyde,"Icotyde is indicated for the treatment of moderate to severe plaque psoriasis in adults, and adolescents 12 years of age and older and weighing at least 40 kg, who are candidates for systemic therapy.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Icotyde received a positive opinion for the treatment of plaque psoriasis in adults and adolescents.,icotrokinra hydrochloride,https://www.nice.org.uk/search?q=icotrokinra hydrochloride,https://www.ema.europa.eu/en/medicines/human/EPAR/icotyde,
lynavoy,Lynavoy is indicated for the treatment of cholestatic pruritus in adult patients with primary biliary cholangitis (PBC).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lynavoy received a positive opinion for the treatment of cholestatic pruritus in adult patients with primary biliary cholangitis.,linerixibat,https://www.nice.org.uk/search?q=linerixibat,https://www.ema.europa.eu/en/medicines/human/EPAR/lynavoy,
lyrokaul,"Lyrokaul is indicated in adults with primary hypercholesterolaemia (heterozygous familial (HeFH) and non-familial) or mixed dyslipidaemia as an adjunct to diet: in combination with a statin or statin with other lipid-lowering therapies in patients unable to reach low-density lipoprotein cholesterol (LDL-C) goals with the maximum tolerated dose of a statin, or alone or in combination with other lipid-lowering therapies in patients who are statin intolerant or for whom a statin is contraindicated.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lyrokaul received a positive opinion for the treatment of adult patients with hypercholesterolaemia and mixed dyslipidaemia.,lerodalcibep,https://www.nice.org.uk/search?q=lerodalcibep,https://www.ema.europa.eu/en/medicines/human/EPAR/lyrokaul,
nezglyal,"Nezglyal is indicated for the treatment of Cerebral Adrenoleukodystrophy (cALD) in males with Adrenoleukodystrophy (ALD) aged 2 to 12 years with non-Gadolinium (Gd) enhancing lesions (i.e. Gd negative) in brain Magnetic Resonance Imaging (MRI), with a Neurological Functional Score (NFS) of 0 or 1.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Nezglyal received a positive opinion, under exceptional circumstances, for the treatment of cerebral adrenoleukodystrophy.",leriglitazone,https://www.nice.org.uk/search?q=leriglitazone,https://www.ema.europa.eu/en/medicines/human/EPAR/nezglyal,
susvimo,Susvimo is indicated in adult patients for the treatment of neovascular (wet) age‑related macular degeneration (nAMD) who have achieved stable disease after previously responding to intravitreal treatment with a vascular endothelial growth factor (VEGF) inhibitor medicinal product.,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,"Susvimo, ranibizumab delivered through a refillable ocular implant, received a positive opinion for the treatment of neovascular (wet) age-related macular degeneration.",ranibizumab,https://www.nice.org.uk/search?q=ranibizumab,https://www.ema.europa.eu/en/medicines/human/EPAR/susvimo,
ubeslo,"Ubeslo is indicated in adults with primary hypercholesterolaemia (heterozygous familial and non‑familial) or mixed dyslipidaemia, as an adjunct to diet: in combination with a statin or statin with other lipid‑lowering therapies in patients unable to reach low‑density lipoprotein cholesterol (LDL‑C) goals with the maximum tolerated dose of a statin or, alone or in combination with other lipid-lowering therapies in patients who are statin‑intolerant, or for whom a statin is contraindicated.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ubeslo received a positive opinion for the treatment of primary hypercholesterolaemia or mixed dyslipidaemia.,obicetrapib,https://www.nice.org.uk/search?q=obicetrapib,https://www.ema.europa.eu/en/medicines/human/EPAR/ubeslo,
zokovea,Zokovea is indicated for the post‑exposure prophylaxis of COVID‑19 in adults and adolescents aged 12 years and older. Zokovea should be used in accordance with official recommendations.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Zokovea received a positive opinion for the post-exposure prophylaxis of COVID-19.,ensitrelvir,https://www.nice.org.uk/search?q=ensitrelvir,https://www.ema.europa.eu/en/medicines/human/EPAR/zokovea,
enhertu,"Breast cancer: HER2-positive breast cancer. Enhertu in combination with pertuzumab is indicated for the first-line treatment of adult patients with unresectable or metastatic HER2-positive breast cancer (for biomarker-based patient selection, see section 4.2). Enhertu as monotherapy is indicated for the treatment of adult patients with unresectable or metastatic HER2-positive breast cancer who have received one or more prior anti-HER2-based regimens. HER2-low and HER2-ultralow breast cancer. Enhertu as monotherapy is indicated for the treatment of adult patients with unresectable or metastatic hormone receptor (HR)-positive, HER2-low or HER2-ultralow breast cancer who have received at least one endocrine therapy in the metastatic setting and who are not considered suitable for endocrine therapy as the next line of treatment (see sections 4.2 and 5.1). HER2-low breast cancer who have received prior chemotherapy in the metastatic setting or developed disease recurrence during or within 6 months of completing adjuvant chemotherapy (see section 4.2).
Non-small cell lung cancer (NSCLC): Enhertu as monotherapy is indicated for the treatment of adult patients with advanced NSCLC whose tumours have an activating HER2 (ERBB2) mutation and who require systemic therapy following platinum-based chemotherapy with or without immunotherapy.
Gastric cancer: Enhertu as monotherapy is indicated for the treatment of adult patients with advanced HER2-positive gastric or gastroesophageal junction (GEJ) adenocarcinoma who have received a prior trastuzumab-based regimen.
Other unresectable or metastatic solid tumours: Enhertu as monotherapy is indicated for the treatment of adult patients with unresectable or metastatic HER2-positive (IHC3+) solid tumours who have received prior treatment and who have no satisfactory treatment options (see sections 4.4 and 5.1; for biomarker-based patient selection, see section 4.2).","Enhertu in combination with pertuzumab is indicated for the first-line treatment of adult patients with unresectable or metastatic HER2-positive breast cancer (for biomarker-based patient selection, see section 4.2).",N/A,N/A,N/A,Yes,Yes,N/A,N/A,"Enhertu gained a new indication in combination with pertuzumab, for the first-line treatment of adults with unresectable or metastatic HER2-positive breast cancer.",trastuzumab deruxtecan,https://www.nice.org.uk/search?q=trastuzumab deruxtecan,https://www.ema.europa.eu/en/medicines/human/EPAR/enhertu,https://www.ema.europa.eu/en/medicines/human/variation/enhertu
jivi,Treatment and prophylaxis of bleeding in patients ≥ 7 years of age with haemophilia A (congenital factor VIII deficiency).,N/A,N/A,previously treated,N/A,Yes,Yes,N/A,N/A,"The restriction to previously treated patients was removed from Jivi's indication, which now covers treatment and prophylaxis of bleeding in patients aged 7 years and over with haemophilia A.",damoctocog alfa pegol,https://www.nice.org.uk/search?q=damoctocog alfa pegol,https://www.ema.europa.eu/en/medicines/human/EPAR/jivi,https://www.ema.europa.eu/en/medicines/human/variation/jivi
